sku,name,category,price,qty,set_qty,set_price
KB-PK-BK-28,ยีนส์ทรงกระบอกเล็ก สีดำ,ผู้ชาย ขายาว,199,18,3,550
KB-PK-BK-30,ยีนส์ทรงกระบอกเล็ก สีดำ,ผู้ชาย ขายาว,199,26,3,550
KB-PK-BK-32,ยีนส์ทรงกระบอกเล็ก สีดำ,ผู้ชาย ขายาว,199,31,3,550
KB-PK-BK-34,ยีนส์ทรงกระบอกเล็ก สีดำ,ผู้ชาย ขายาว,199,24,3,550
KB-PK-BK-36,ยีนส์ทรงกระบอกเล็ก สีดำ,ผู้ชาย ขายาว,199,17,3,550
KB-PK-BK-38,ยีนส์ทรงกระบอกเล็ก สีดำ,ผู้ชาย ขายาว,199,12,3,550
KB-PK-BK-40,ยีนส์ทรงกระบอกเล็ก สีดำ,ผู้ชาย ขายาว,199,9,3,550
KB-PK-BK-42,ยีนส์ทรงกระบอกเล็ก สีดำ,ผู้ชาย ขายาว,199,6,3,550
KB-PK-BK-44,ยีนส์ทรงกระบอกเล็ก สีดำ,ผู้ชาย ขายาว,199,4,3,550
KB-PK-MW-30,ยีนส์ทรงกระบอกเล็ก สีดำ,ผู้ชาย ขายาว,199,20,3,550
KB-PK-MW-32,ยีนส์ทรงกระบอกเล็ก สีดำ,ผู้ชาย ขายาว,199,22,3,550
KB-PK-MW-34,ยีนส์ทรงกระบอกเล็ก สีดำ,ผู้ชาย ขายาว,199,19,3,550
ST-PK-MW-28,ยีนส์ผ้ายืด ใส่สบาย,ผู้ชาย ขายาว,299,14,4,990
ST-PK-MW-30,ยีนส์ผ้ายืด ใส่สบาย,ผู้ชาย ขายาว,299,0,4,990
ST-PK-MW-32,ยีนส์ผ้ายืด ใส่สบาย,ผู้ชาย ขายาว,299,0,4,990
ST-PK-MW-34,ยีนส์ผ้ายืด ใส่สบาย,ผู้ชาย ขายาว,299,15,4,990
ST-PK-MW-36,ยีนส์ผ้ายืด ใส่สบาย,ผู้ชาย ขายาว,299,12,4,990
ST-PK-MW-38,ยีนส์ผ้ายืด ใส่สบาย,ผู้ชาย ขายาว,299,9,4,990
ST-PK-MW-40,ยีนส์ผ้ายืด ใส่สบาย,ผู้ชาย ขายาว,299,7,4,990
ST-PK-DK-30,ยีนส์ผ้ายืด ใส่สบาย,ผู้ชาย ขายาว,299,0,4,990
ST-PK-DK-32,ยีนส์ผ้ายืด ใส่สบาย,ผู้ชาย ขายาว,299,2,4,990
ST-PK-DK-34,ยีนส์ผ้ายืด ใส่สบาย,ผู้ชาย ขายาว,299,11,4,990
CH-PK-BE-28,ชิโน่สไตล์เกาหลี,ผู้ชาย ขายาว,199,10,3,550
CH-PK-BE-30,ชิโน่สไตล์เกาหลี,ผู้ชาย ขายาว,199,14,3,550
CH-PK-BE-32,ชิโน่สไตล์เกาหลี,ผู้ชาย ขายาว,199,16,3,550
CH-PK-BE-34,ชิโน่สไตล์เกาหลี,ผู้ชาย ขายาว,199,13,3,550
CH-PK-BE-36,ชิโน่สไตล์เกาหลี,ผู้ชาย ขายาว,199,8,3,550
CH-PK-BE-38,ชิโน่สไตล์เกาหลี,ผู้ชาย ขายาว,199,6,3,550
CH-PK-BE-40,ชิโน่สไตล์เกาหลี,ผู้ชาย ขายาว,199,6,3,550
DF-PK-DK-26,ทรงเดฟเอวสูง,ผู้หญิง ขายาว,249,30,3,699
DF-PK-DK-28,ทรงเดฟเอวสูง,ผู้หญิง ขายาว,249,34,3,699
DF-PK-DK-30,ทรงเดฟเอวสูง,ผู้หญิง ขายาว,249,36,3,699
DF-PK-DK-32,ทรงเดฟเอวสูง,ผู้หญิง ขายาว,249,40,3,699
DF-PK-DK-34,ทรงเดฟเอวสูง,ผู้หญิง ขายาว,249,52,3,699
DF-PK-DK-36,ทรงเดฟเอวสูง,ผู้หญิง ขายาว,249,48,3,699
SP-PK-BK-FS,กางเกงผ้ายืดสปอร์ต,ยูนิเซ็กซ์ ขายาว,166,64,3,499
SP-PK-NV-FS,กางเกงผ้ายืดสปอร์ต,ยูนิเซ็กซ์ ขายาว,166,41,3,499
SH-PK-BK-28,ขาสั้นผ้าสี,ผู้ชาย ขาสั้น,189,22,3,499
SH-PK-BK-30,ขาสั้นผ้าสี,ผู้ชาย ขาสั้น,189,25,3,499
SH-PK-BK-32,ขาสั้นผ้าสี,ผู้ชาย ขาสั้น,189,28,3,499
SH-PK-BK-34,ขาสั้นผ้าสี,ผู้ชาย ขาสั้น,189,20,3,499
SH-PK-BK-36,ขาสั้นผ้าสี,ผู้ชาย ขาสั้น,189,15,3,499
SH-PK-BK-38,ขาสั้นผ้าสี,ผู้ชาย ขาสั้น,189,11,3,499
SH-PK-BK-40,ขาสั้นผ้าสี,ผู้ชาย ขาสั้น,189,8,3,499
SH-PK-BK-42,ขาสั้นผ้าสี,ผู้ชาย ขาสั้น,189,6,3,499
SH-PK-BK-44,ขาสั้นผ้าสี,ผู้ชาย ขาสั้น,189,5,3,499
SH-PK-NV-30,ขาสั้นผ้าสี,ผู้ชาย ขาสั้น,189,19,3,499
SH-PK-NV-32,ขาสั้นผ้าสี,ผู้ชาย ขาสั้น,189,21,3,499
SH-PK-NV-34,ขาสั้นผ้าสี,ผู้ชาย ขาสั้น,189,15,3,499
SH-PK-GY-30,ขาสั้นผ้าสี,ผู้ชาย ขาสั้น,189,14,3,499
SH-PK-GY-32,ขาสั้นผ้าสี,ผู้ชาย ขาสั้น,189,16,3,499
SH-PK-GY-34,ขาสั้นผ้าสี,ผู้ชาย ขาสั้น,189,12,3,499
